date,matched_words,Deidentified_paragraph,city
12_14_2017,homeless,"Code Blue was put into effect [TIME] on [DATE] , and that's going to run until [ORGANIZATION]. Code Blue, again, for us who forget and don't want to remember , it's when the forecast ed temperature in [ORGANIZATION], including wind chills, is expected to reach 20 degrees [PERSON] or lower. The goal of this is to notify as many people as possible about the cold and extreme conditions and provide information related to the health and wellness in cold weather , and publicize locations of emergency homeless shelters that are operated by area social service agencies .",scranton
10_08_2024,unhoused,"[TIME] I'm bringing it. In the city where we respond to things in [ORGANIZATION], [LOCATION], and the case of FAC0 pool complex DATE2, we could do better. I showed up [ORGANIZATION] along with a few other people that cared to the unhoused commission meeting .",scranton
04_30_2024,homeless,"I'm just wondering where we are with that and when we could possibly jump on that issue and have a public caucus dealing with the homeless situation . MR. PERSON0 : I'll look into that, Mr. [PERSON].",scranton
03_19_2024,homeless,"[2] - 58:21, 58:22 hire [1] - 49:5 hired [2] - 18:22, 19:1 hits [1] - 48:11 Hodowanitz [2] - 5:7, 5:8 HODOWANITZ [5] - 5:8, [DATE], [DATE], [DATE], [TIME] hole [5] - 51:7, [DATE], 59:1, 59:2, 59:3 Home [1] - 27:10 home [3] - 11:7, 12:18, 32:7 homeless [8] - 32:18, 32:20, 32:21, 33:7, 33:21, [DATE], 33:25, 34:3 homeowner [3] - 14:24, 19:19, 3[DATE]5 homes [3] - 24:13, 35:7 honest [2] - 10:23, 17:8 hope [3] - 8:7, [DATE], 46:3 hopefully [1] - 9:18 hoping [2] - 38:19, 52:10hot [1] - 50:20 hotel [1] - 34:1 hour",scranton
07_25_2023,homeless,"But I need you guys to work with me as [ORGANIZATION] to make it 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [TIME] happen for these people because what's going to happen is, if you guys don't listen to the homeless people, it's not just going to be three homeless people in this crowd. It's going to be like dozens of us coming up here to ORG1 . And a lot of them are angry and upset, you want to know why?",scranton
09_26_2023,homeless,"[ORGANIZATION] , [ORGANIZATION] reached out to the administration per request of [ORGANIZATION] ORG1 Director in addition to parents and ORG2 student s that are -- ORG3 please concentrate regular patrols on FAC0 between FAC1 and ORG2 due to the growing amount of homeless on the blocks in addition to code enforce ment reviewing the properties and yards along the blocks. Mr. [PERSON] and parents have advised many students traverse the blocks to and from the high school. Resident s and parents have noted an increase d number of needles , used drug paraphernalia and litter in the yards along this roadway .",scranton
09_26_2023,homeless,"I believe that when the subject of who is responsible and who has jurisdiction and whose land is it and this one is going to call that one and then none of that helps with the homeless and the residents are keeping the city safe. So in light of the nature to care about people and seeing so much online with hardships within the city and paying more attention now to [ORGANIZATION] meetings , etc., you 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] know, it's very hard to see the deterioration of my once wonderful city. You know, I went to high school here.",scranton
11_12_2024,homeless,"And, you know, Mr. [PERSON], I'd like you in the next meeting to tell all the residents in this city how much money out of the sale of [ORGANIZATION] went to pensions , let all the people in this city know and exactly where that money went, okay? Let's really know how much really went there. And let's not talk about borrowed money that went there, okay, let's really talk about the beating that the residents took and now, you know something , there was a conversation here about the homeless having to pay $2.50 to take a shower at FAC0 I believe it was.",scranton
02_07_2023,homeless,"I've seen it all, like certain people being removed out of there. And I'm down there [ORGANIZATION]. And all the [ORGANIZATION] and all the residents there, like, I know them all, you know, and I love them because I was dropped off to be homeless [DATE].",scranton
09_10_2015,affordable housing,"[ORGANIZATION] $100,000.Purchase [ORGANIZATION] EngineNo.7. Thenextallocations ORG2 of homesintheCityofScranton .$60,000, ORG3 community based organization tohelpstafftodevelop affordable housing inthecommunity . Thenextitemis$40,000tobeused reasonable administrative andplanning costs incompliance withtheHOMEhomerules.",scranton
03_19_2024,homeless,"Because there's a lot of money in funding in sheltering the homeless . Why is the city not using the land or securing the land for homeless building the 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] equivalent of a hotel of tiny structures . How good would it look for the city to employ its own people and shelter its homeless , not just for [TIME] a day and then collect a lot of the federal grants and Section Eight to pay for that.",scranton
02_27_2024,homeless,"Coming up -- I think the rest of the [ORGANIZATION] got it. I was in some discussion with Mr. [PERSON] , some representatives of the railroad and we had some conversation about homeless encampment s along the railroad and on private property .1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] The ORG1 and ORG2 were brought into that conversation as well as the Mayor.",scranton
04_02_2024,homeless,"and they put them in there. At some point in time somebody made laws, you know, like, we're caregivers -- probably was [ORGANIZATION] , I guess, because his picture is on there. But all of these [INSTITUTION] s they're really just 5013Cs like everything else 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] like [ORGANIZATION] .",scranton
12_03_2018,homeless,"You can visit www. Facebook .com/ friends ofshannonmcdonough if you are interested in learning more about this event. Also, received an announcement [ORGANIZATION] about a [LOCATION] coat [STREET] at FAC0 and it reads, ""Did you know there are almost 600,000 homeless people in [ORGANIZATION]?",scranton
09_19_2023,homeless,"Can 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] you explain the vetting process and who does the vetting ? With the rumors swirling regarding some of the conduct inside [ORGANIZATION] with their employee s and their directors , we would feel very uncomfortable if these same people were vetting the homeless that are using FAC0. It's evident that the vetting process in [STREET] is highly lacking right now.",scranton
04_18_2023,homeless,"Check the pavilion on [DATE] 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 2[DATE]2 23 [DATE] FAC0, see if you want to sit there and have a drink and a hoagie from [ORGANIZATION] or [ORGANIZATION]. Guarantee you won't. There are few of these homeless camps with propane tanks.",scranton
12_03_2024,homeless,"It serves as a [STREET] to inform the community about things such as H2O Help which are important . I talked about the food resources in the budget and the mud funds for the homeless that were $10,000 a piece that were on that list as unspent . Whether they were unspent or not, as of [ORGANIZATION], 27,111 has been spent for recycling that has been rejected and charged the higher rate by the landfill .",scranton
07_18_2023,homeless,"Well, does anybody look at the lease terms, not Judge [PERSON] in the magistrate [STREET], not Judge [PERSON] in [LOCATION] because they don't even know. They don't even know about the [DATE] Landlord Tenant Act. We got homeless people.",scranton
12_03_2024,homeless,"But unfortunately we don't have people to coordinate for those in need. We have homeless advisory boards that the public isn't allowed to attend who advise that they're going to do something in the future. While people suffer under the burdens of these fees, it would be nice if our local government took action to coordinate what resources are physically out there for a population in need, actually made a [STREET] where they could come together and see everything that's out there.",scranton
03_12_2024,homeless,Anyone else? No? I'll say I'm also for anything that will try to alleviate the problem we're having with homeless people.,scranton
07_25_2023,affordable housing,So there are various programs . But we do need to do a better job of creating more affordable housing in the city because it is definitely a problem . PERSON0: And especially with the [STREET] that the prices have gone up.,scranton
02_14_2023,homeless; soup kitchen,I'm a citizen here. I went through a lot and it took [ORGANIZATION] to get me through what I've been through and to see us squander funds that have been coming from the federal government and even they can't even cooperate and us locally we're not supporting our citizens even our children and there is multiple amounts of homeless people up here. I go to the soup kitchen [ORGANIZATION] for [LOCATION].,scranton
04_17_2024,homeless,"It gives the city a better direction on how to bridge the gap between homeless and 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] returning them to productive members of society and part of the community and resident s will know who is here, where, and clearly why. And rules and structures equal success . MR. PERSON0: Thank you.",scranton
01_07_2019,homeless,"I also would like to discuss the vaping epidemic and what we might be able to do legislative to curb that so I will ask my colleagues if we can schedule that meeting 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] with [ORGANIZATION] over [ORGANIZATION]. Mrs. [PERSON] brought up [TIME] two points, number one, the homeless population and what the city's policy is or the [INSTITUTION] 's policy, and the opioid crises. I think at this point we should probably invite, if my colleagues would agree, Chief [PERSON] in to discuss both of these topics, especially the opioid crises, we have had, as has been pointed out in the newspaper , multiple tragic overdoses over [LOCATION].",scranton
03_19_2024,homeless,"Oh, or was that someone else who decided it was easier to use the law to wash his hands of the matter. Last, we have a group of another nonprofit who came in who wants to take free land from [ORGANIZATION] and make it nontaxable to help the homeless . Why would they do that?",scranton
07_25_2023,homeless,"If we have rehabilitation in this city, that would help these homeless people get clean. That's part of the solution . Two, we need more space in the shelter .",scranton
04_25_2023,homeless,"So, Mr. [PERSON] , please send correspondence to the administration that we need to get the playground fixed there. There's a slide with, like, a crack 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] in it. There seems to be, you know, maybe a homeless person that took up shelter in part of the playground too.",scranton
11_19_2024,homeless,"Anyone else? Mr. [PERSON] : -- PERSON1 , you guys 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] know my name. So we talk a lot about the homeless population .",scranton
05_28_2024,homeless,"[1] - 5:2 Holy [1] - 3:25 Home [2] - 11:10, 11:14 home [3] - 12:3, 12:11, 41:25 homeless [9] - 14:12, 38:22, 40:3, 40:6, [DATE], 56:3, 56:4, 56:7, 56:16 homeowner [1] - 19:12hometown [1] - 31:24 honoring [2] - 4:12, 4:24 hope [4] - 25:25, 26:1, 27:7, 55:13 hopefully [3] - 9:12, [TIME], [ORGANIZATION] horrific",scranton
09_13_2022,soup kitchen,"The money that they raised for this, they do a lot of great things. So in [ORGANIZATION] since their last DATE1 fest, we've hosted the following free events: A kids DATE2 party, tree lighting and [ORGANIZATION], breakfast with the bunny. And they also in addition to that make multiple donations over [ORGANIZATION]s with money raised to [ORGANIZATION] soup kitchen , and [PERSON], ORG2 , FAC0, [ORGANIZATION] .",scranton
02_25_2019,homelessness,"The reschedule d caucus [ADDRESS] [ORGANIZATION], at 5:15 to discuss the topics of homelessness in the city and the opioid epidemic . Also, [ORGANIZATION], at [TIME] we will hold a public hearing for Item 6-A on [TIME] 's agenda, the installation of ""No Parking "" signs along FAC0 along the bike lanes at the trail crossings near FAC1 . MR. PERSON2 : I have one additional .",scranton
12_12_2023,homeless,"But, you know, then it goes onto this [ORGANIZATION] Judge [PERSON], you know, on ORG1 in the courts.1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] I mean, most of those people that are homeless , they shouldn 't have even gone to [STREET] because ORG2 is federally subsidize d and they are constantly sending inflated bills to everybody which is under [ORGANIZATION] law a retaliatory eviction and much more stuff than that. I mean, they're aggressively moving people out so they have their own little dominion and they control it with the fear of eviction , the fear of the District Attorneys coming to prosecute you.",scranton
04_18_2023,homeless,"But to your point about the, you know, the homeless , you know by going down there cutting all of those weeds and picking up all that garbage and cleaning up that area and kind of opening it up a little bit more, it kind of helps to open up the area so that it would lend itself to make them more visible 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] which would then prevent I think from things like that happening . So and I just want to thank everyone for helping out. And I know that's going to continue .",scranton
01_28_2019,homeless,"A Code Blue Alert issued when the forecasted temperature in [ORGANIZATION], including windchills, is expected to reach 25 degrees [PERSON] or lower. The goal of this notification is to make people aware of the extremely cold conditions , provide information related to 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] 257 health and wellness and cold weather publications of emergency shelters that are operated by various social security . During a Cold Blue Alert, homeless individuals can access an emergency shelter at the following locations : FAC0, [ADDRESS].",scranton
10_22_2024,homeless,"[1] - 18:16 hill [2] - 27:18 PERSON0 [1] - 41:17 hired [1] - 36:1 hit [1] - 39:2 hits [1] - 19:4 PERSON1 [2] - 5:25, 6:1 PERSON2 [10] - 6:1, 7:4, 7:9, [DATE], 7:25, [TIME], [DATE], [TIME], 10:1, 10:10 hold [2] - 39:4, 39:5 hole [2] - 51:4, 51:9 home [6] - 11:2, 12:23, 14:9, 23:2, 39:1, 51:23 Homeless",scranton
05_21_2024,unhoused,"Will the public be notified of the next meeting , date, time, and location ? And will there be any public participation or public comment permitted during any of these meetings? Can the city also provide resumes and experiences for all the board members on the task force to show how they tie in with unhoused individuals ?",scranton
06_04_2024,homeless,But I think that a bathhouse would be a relatively productive thing to put in certain parts of the city. I don't know how that would be done. But it does give -- makes it a little more human for the homeless .,scranton
03_26_2024,homeless,That's exactly what we did. I don't think we took any belongings from anyone that was homeless because the items we picked up were frozen clothing and just garbage . It didn't belong to anybody .,scranton
09_10_2024,squatter,"[2] - 33:6, 33:10 squatter [1] - 47:2 squatters [1] - 47:2 stabbed [1] - 24:21 stabilization [1] - 33:19 stadium [1] - 15:12 Stadium [1] - 14:22 staffing [1] - 10:11 standing [2] - 3:3, 12:23 start [1] - 36:20 started [3] - 43:7, 43:8, 54:10 starts [1] - 15:14 STATE [2] - 72:23, 74:5 state [3] - 11:4, 23:12, 49:23 states [1] - 66:25 stations [1] - 22:16 statues",scranton
05_21_2024,homelessness,"But there were people who represent the many local nonprofit s that make up the board. Can you inquire as [ORGANIZATION] if there is any data available to how the issue has been address [PERSON] and the breakdown of all funding to these agencies on this task force and what and how they spend the funds and how do they try to correct the issues of homelessness ? A city with 70,000 people and that's not including the county and this is what we have available .",scranton
11_26_2024,homeless,"So when we talk about that snow storm hitting , my question -- the question that comes to my mind is what about the homeless ? What are we doing? Do you understand ?",scranton
06_23_2016,homeless,"Ihadafriend witha broken pipeupinhisbathroom ,hewoundup homeless because hishosewascondemned .A broken pipeinthebathroom ,givemea break,youknow,[PERSON]. KOZ's,thegrants,theyjustgetsucked up bypeople withtentimesmoremoneythan whatthegrants aresupposed tobewritten forsoinretrospect I'mgladMr. [ORGANIZATION] is downtheroadandprobably thebestthing thatthelastcouncil everdidwastoget ridofhim.",scranton
04_09_2024,homeless,It was overgrown leaves and all types of things. So [TIME] and three people and it wasn't that hard. So my husband [ORGANIZATION] and DATE1 -- [ORGANIZATION] and [ORGANIZATION] actually picked up a homeless woman and took her to pick up 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 [DATE] 18 19 20 21 22 23 [DATE] trash.,scranton
11_26_2024,homeless,"All of these situations as far as the homeless are concerned , like, I was almost homeless because the house burned. It was a rental. But the point in being that everybody heads towards the city when they become homeless .",scranton
04_09_2024,homeless; homelessness,"[2] - 76:24, 77:12 home [1] - 38:22 homeless [59] - 13:11, 15:6, 22:24, 22:25, 23:4, [TIME], [TIME] [DATE], 23:21, [DATE], [DATE]5, 25:1, 25:2, 25:3, [TIME] 25:12, [TIME], [DATE], [TIME], [TIME], 28:20, 28:23, 29:21, 30:6, 30:7, 30:14, 31:8, [DATE], 34:19, 6 [DATE], 35:12, 35:15, [DATE], 42:24, 42:25, [TIME] 43:22, [TIME], 46:16, [DATE], [DATE], 51:14, 51:15, 52:6, 55:5, [DATE], [TIME] [DATE], 73:9, [DATE], 74:8, 74:18, 75:19 homelessness [5] - 26:18, 29:6, [DATE], 30:9, 51:12 homeowner [2] - 15:4, 55:1 homes [1] - 23:19 Honor [1] - 4:25 honor [2] - 67:3, [TIME] honored [1] - 67:2 hope [6] - 7:6, 18:19, 22:4, 26:2, 47:7, 74:21 hopefully [3] - 44:20, [DATE], 66:22 hoping [4] - 8:10, [DATE], 67:14 horse [1] - 35:10 horses [1] - 58:8 hour [5] - 9:9, [DATE], [DATE], [TIME]",scranton
12_17_2024,housing crisis,"And maybe even better solutions, maybe implementing some of the recommendations from our [ORGANIZATION]. okay [ORGANIZATION] did you have something yes uh thank you council member [PERSON] because that is what i was thinking i think that um don't want to rush this especially with the potential of legal issues",fayetteville
04_18_2023,homeless,"and then that ended, they would be back out on the [STREET] homeless. [ORGANIZATION]'s plan deals with long-term care of these people. I think it's really important to fund.",fayetteville
04_04_2023,homelessness; affordable housing,This program is a federal block grant program that provides [ORGANIZATION] funding used exclusively for affordable housing activities to benefit low-income households. Funding for homelessness services is not an eligible activity for this funding. I think that was mentioned at the last meeting I wanted to make sure that you were all aware that that is not an eligible funding activity.,fayetteville
12_20_2016,homeless; homelessness,"Any public comment on the amendment? Hi, my name is [ORGANIZATION], and I've spent DATE0 becoming very just uncomfortable Educated on issues concerning homelessness here in [ORGANIZATION], [PERSON] And one of the issues that I never really thought about as someone who has been homed as an adult but was homeless as a child or a teenager [LOCATION] is the issue with creating a record in the system and so my question to you would be if I violate this ordinance and if I'm arrested for panhandling then what is the um What is the charge and what is the punishment for that crime? Is that a misdemeanor?",fayetteville
04_17_2018,affordable housing,"But the zoning alone is not going to create affordable housing, especially because we don't know what's going to be built there. whoever buys this is going to determine what is going to be built there. So I don't think that this is in keeping with the neighborhood that it is.",fayetteville
11_21_2023,housing crisis,"And so that's why we have a sunset clause to give [ORGANIZATION] the discretion and authority To make changes to the short-term rentals that the current operators might not like I echo some of the concerns that were expressed by council member [PERSON] know, I've had a little bit of time on council and absolutely understand. This has been a conversation that's been evolving over [ORGANIZATION], but also to the information and  in regard to our housing crisis and the shortage of available rentals has become much more sharpened and focused for us too when we've gotten concrete numbers from our planning department who's done such a great job in long-range planning of identifying the tremendous gap that we have. And so I think we have to look at all available levers and think about, you know, this is 500 available units, you know, more really with the illegal operating  They're not available housing stocks.",fayetteville
04_02_2024,housing crisis,and i want to express that [TIME] i'm pleased with this council i'm pleased with my staff i'm thankful that we have citizens that let your voice be heard everybody needs to always show up step up and speak out and that's what you've done and we've heard you so thank you all thank everybody so with that PERSON0 let's vote  There needs to be a motion to approve. I make the motion that we adopt the housing crisis resolution.,fayetteville
04_18_2023,homeless,"Yeah. Yeah, I just think that there's a different ROI for chronically homeless folks. And there's a deeper impact, but a more narrow impact.",fayetteville
08_06_2024,affordable housing,"And so I have concerns about that. The affordable housing, I have concerns about that very steep hillside. I have concerns about that.",fayetteville
04_02_2024,housing crisis,"THE COST ASSOCIATED WITH MOVING FROM EXPENSES TO [LOCATION], THE AMOUNT OF [ORGANIZATION] COMPETITIVE  MAKE IT DEARLY IMPOSSIBLE FOR [LOCATION] TO SEEK ALTERNATIVE HO[LOCATION]ING OPTIONS. I HOPE TO NOT ONLY SPEAK FOR MYSELF, BUT TO ALSO STAND HERE AS A VOICE FOR THOSE IN OUR COMMUNITY WHO CANNOT BE PRESENT DATE0. I ASK YOU TO VOTE YES ON THIS HO[LOCATION]ING CRISIS RESOLUTION.",fayetteville
11_19_2024,housing crisis,"I understand we have a housing crisis and I'm usually up here saying housing, housing, housing. But this is one, when we have a staircase that is about to fall through and we have a fire hazard. And we have firefighters that will not go in there.",fayetteville
03_19_2024,housing crisis,"And these are not just teenagers, these are [ORGANIZATION], people who have been working and saving to try to get a home for a while now. I really appreciate that the council is listening to us on this. I really appreciate that this resolution has been put forward to declare a housing crisis",fayetteville
02_06_2018,homeless,"Number seven, a resolution to approve a budget adjustment in the amount of $400 representing donation revenue to [ORGANIZATION] for [ORGANIZATION] event. Number eight, a resolution to approve the agreement for assignment of ground lease for [INSTITUTION] facilities  Property located at [ADDRESS] from ORG1 to ORG2. Number nine, a resolution to approve contract with [ORGANIZATION] to provide funding assistance in the amount of $57,000 for maintenance and repairs at FAC0 in [LOCATION].",fayetteville
12_07_2021,affordable housing,I represent the southern sellers of the 51.2 acres. The only thing I would like to say is thank you guys for your time [TIME]. And I just want to reemphasize the need for affordable housing in your town.,fayetteville
04_18_2023,homelessness; affordable housing,My name is [ORGANIZATION]. I live at [ADDRESS] here in [ORGANIZATION]. Some friends and I are very concerned about.  affordable housing and homelessness.,fayetteville
11_19_2024,homeless,I just want to clarify. We are not required to be a member because we don't receive funding from them. But we provide all of the information into [ORGANIZATION] that they require.,fayetteville
04_02_2024,affordable housing,"This means that they have to find housing near enough to the university or along public transit routes in order to find housing, let alone affordable housing. Sorry, finding housing, let alone affordable housing is a challenge. I personally have a friend from [ORGANIZATION] who had to stay in a hotel for [ORGANIZATION] before he could find an apartment when he first arrived, which drained him of his savings.",fayetteville
07_18_2023,affordable housing,"I think the chief concern that I have as a council member is that I don't have a price tag for those infrastructure improvements that would be linked to this development. I do not like the use of the term affordable housing for a development such as this primarily because  By the time DATE0 goes by, the cost of labor, materials, and infrastructure is such that you can't make a promise of a price tag. The only thing you know currently is the price of the dirt upon which you're going to build.",fayetteville
04_18_2023,affordable housing,"There's also a lot of concerns expressed about the property's development history, not just during construction, which was mentioned, but there's also a lot of concern that during the entitlement process, especially the zoning and conditional use permit entitlement processes, it was frequently mentioned that these units were intended or would serve as attainable housing or affordable housing. And there's been a lot of frustration expressed over the units and their ultimate sales price and also the potential that they will go immediately from or perception that they'll immediately go from newly constructed housing to the short-term rental market with nothing in between. There are also concerns noted about parking.",fayetteville
03_07_2023,homelessness,"As far as what homelessness looked like before [ORGANIZATION], I mean, well, I know for 20 people, it looks 100% different. And there are a couple of those people here [TIME], and I think one on [ORGANIZATION]. So we may hear more personally.",fayetteville
07_02_2019,homeless; homelessness,"I want to take you back to a time [ORGANIZATION] when I was a business owner in northwest [ORGANIZATION] and had very definite opinions about what it meant for people experiencing homelessness, except back then I just said homeless people, those people that, you know, beg for money on the side of the [STREET]. Right. And over [LOCATION], I have, as you all know, become a very staunch homeless advocate as I came out of the closet about personally having experienced homelessness as a child and a teenager.",fayetteville
11_07_2024,affordable housing,"And the idea that they are going to be able to enforce any kind of parking, they would have to have a force patrolling the streets day and night.  making 800 more car trips probable in our neighborhood will not do anything to help [ORGANIZATION] or especially our neighborhood, but [ORGANIZATION] on the whole. Whatever they say about affording affordable housing, $1200 a month  For I would know last meeting they were mentioning senior citizens It's not something senior senior citizens are going to want to do this is being marketed mainly to Transients I mean, you know, I don't mean like bombs.",fayetteville
02_20_2018,affordable housing,And I'm glad you do. And I look forward to being able to add something to the study of [ORGANIZATION] and give us some more affordable housing out there. Thank you.,fayetteville
04_18_2023,homeless; affordable housing,"So I'm thankful [DATE] for [ORGANIZATION] to give me this chance to get to this level and hopefully get to the next level. See, me and my wife, even though she's sick, too, we've been approved for housing, but we have nowhere to go. So affordable housing is very well a solution that you can really help this homeless problem, even though people out there are suffering, dying, and are very sick and really need this help.",fayetteville
03_19_2024,housing crisis,"Keep housing affordable for the people of [ORGANIZATION] and the surrounding communities. I myself have experienced a housing crisis. Not knowing where you're going to be able to afford to live is terrifying, and no one should have to deal with this.",fayetteville
03_07_2023,homeless; homelessness,"But there's a third person. The third person is chronically homeless, long-term reoccurring homelessness. Research shows that this person is disproportionately likely to sleep in unsheltered locations.  much more likely to have lifetime trauma, to have mental illness, to have substance abuse, to have justice system involvement, or to have physical disabilities.",fayetteville
04_18_2023,homeless,"And my grandfather worked full-time, as many homeless people do. And they camped wherever they could, wherever someone would give them permission to camp. Not campgrounds.",fayetteville
03_19_2024,homelessness,"Some have proposed to take care of this issue by criminalizing homelessness and trying to move people out of encampments, which I feel is very shameful. Personally speaking, I hope that y'all go work on this, that y'all pass this resolution, and that you're very vigorous about doing it. I can speak mainly for myself, anecdotally.",fayetteville
09_01_2020,affordable housing,"And in addition, it would provide more tax dollars. So we would like to implore [ORGANIZATION] to appeal the decision to deny the rezoning and allow us to rezone it and market it to someone who can bring in the affordable housing um  to this area like i said that already has a lot of small lots and some duplexes across the [STREET] and that's all i have for now thank you so much okay does the council have any questions for the applicant before we go on the public comment",fayetteville
11_19_2024,homelessness,"Homelessness is sometimes just something that happens because of the mental illness and the addiction. So I believe, the staff believes, if we can get people on our sites or working with people who are struggling with mental illness, then we can potentially get them help and help them move forward. It's a process.",fayetteville
08_02_2016,affordable housing,"We're at [ORGANIZATION] placed within city plan [DATE] a new general guiding principle goal six we will create opportunities for attainable housing and to emphasize how important attainable and affordable housing is to our citizens and city. And whereas a provision concerning garage placement within the newly adopted single-family infill standards can in some circumstances significantly and unnecessarily raise the cost of home construction and impair the affordability and attainability of housing, And whereas the [ORGANIZATION] should be able to consider and grant a reasonable variance to such provision which would preserve the legitimate aesthetic concerns but allow home builders to offer attainable houses to our citizens. Now therefore it be ordained by the [ORGANIZATION] of the City of Fayetteville-Arkshaw, Section 1.",fayetteville
11_03_2015,homelessness,"Mr. [PERSON]. [ORGANIZATION], [ORGANIZATION] will meet at [TIME] at [ORGANIZATION]. We will hear from ORG2 sociology graduate students who are working with [PERSON] and have been interviewing people experiencing homelessness on the [ORGANIZATION] to help us get some insight into the causes and...  experiences that they are experiencing so everyone is welcome that's 530 at the new design school on DATE1",fayetteville
07_02_2024,housing crisis,"So to answer your question, we were looking at more of [ORGANIZATION], the folks from [ORGANIZATION], the folks who work with [ORGANIZATION], those who work directly with individuals who are impacted by the housing crisis. Thank you. I'm sorry who was next?",fayetteville
07_02_2024,homeless,"Because I currently own when 60% of my life was spent as a renter. Regrettably, [ORGANIZATION] of my life was spent homeless. Does that disqualify me?",fayetteville
12_06_2022,homeless,"I have been working for code compliance for [ORGANIZATION], and it has been vacant for at least that amount of time. Thanks. Have we had anyone from the homeless community living in the house?",fayetteville
01_02_2024,homeless,"But think about as well, [ORGANIZATION] we voted on [TIME] to give $119,000. And whenever I looked at the numbers in [ORGANIZATION], we had 81 folks that were in the jail that showed a homeless address. And about 23% of those.",fayetteville
01_03_2023,affordable housing,"And 20% affordable housing is a start. However, we are talking about doing something, you know, it's very counter to what [ORGANIZATION] would do by lifting a tree preservation. You know, it's not incumbent upon, you know, the council or city staff to make sure that you as a developer, you know, prosper or make  profit, right?",fayetteville
04_18_2023,homeless,"I've been homeless for [ORGANIZATION] in northwest [ORGANIZATION], and I've lived here my whole life. Anyways, I'm from here. So I love the rivers and the bike trail.",fayetteville
04_02_2024,homelessness,"are now, and it's hard to even, even encompass this, that people are living in multiple families, just trying to survive. Some people are, are, you know, they're living in a very, very poor environment. are on the brink of homelessness.",fayetteville
10_17_2017,affordable housing,"So I know that you're concerned about that, I am too, but I also know that we need affordable housing. The housing that we currently have, it's old. It's not terrible, but it is an older building.",fayetteville
07_18_2023,affordable housing,The one thing that irritates me about all this is I've heard mentioned several times from three or four different people that a part of this  affordable housing is going to be for the elderly or someone called them the local heroes or I'm DATE0 and I [STREET] from my neighborhood into town sometimes three or four times a day so I'm just I'm not sitting just parked in front of my television I travel quite a bit I'm active And I hate to be thought of as a geriatric old geezer who just is not going to be a hardship on the system.,fayetteville
01_03_2023,affordable housing,"Okay, and I think we talked about this, but just to make sure, what definition do we have as it relates to affordable housing? So you know, Miss [PERSON] and I kind of talked about that and I had the exact same questions and I know that there's certain city organizations that I believe that we can put this into that fall in this.",fayetteville
07_02_2024,homeless; affordable housing,"This will not be the last time you see it. You'll be seeing the nuts and bolts of it when it comes forward again, what it looks like incorporating exemptions or waivers, kind of like we have in code [ORGANIZATION] for certain projects, homeless shelters, capital A affordable housing projects, things like that that we think are important to continue keeping incorporated in there, which are ultimately policy decisions for you all to make. great thank you so much certainly",fayetteville
03_16_2021,homelessness,"And we left one term, excuse me, one position vacant on that, that was also ending [ORGANIZATION]. [ORGANIZATION], [ORGANIZATION],  ORG2, one term involving housing services. [ORGANIZATION], one term involving homelessness services.",fayetteville
11_05_2019,affordable housing,"So we need affordable housing. Stormwater issues are issues. And that needs to be addressed, and I want you all to understand this.",fayetteville
03_07_2023,homelessness,"They're living in their car. They're staying in an emergency shelter. For both this first and second person, there's a book called [ORGANIZATION] is a Housing Problem.",fayetteville
03_19_2024,housing crisis,"To be housed and to be able to reengage in society and the community, that's our number one priority. Yes, there's a nationwide housing crisis. I moved here from [ORGANIZATION] and experienced it, but the ecosystem was different.",fayetteville
11_05_2019,affordable housing,"Right on, [ORGANIZATION]. Good point. The vision of the proponents, I don't really know what the vision or the purpose of the vision or the purpose of the ordinance was for to begin with. Whether it's affordable housing, whether it's putting eight houses on an acre, whether it was trying to minimize the footprint, a concrete footprint, whether it was to do stuff.",fayetteville
09_19_2023,housing crisis; affordable housing,"Yes. Okay, thank you all. Now let's go to number three, a resolution to address with urgency the affordable housing crisis and to request that Mayor [PERSON] apply for a [ORGANIZATION] grant.",fayetteville
