date,matched_words,Deidentified_paragraph,city
12_02_2015,affordable housing,"It's very enticing to find a new reliable source of revenue for affordable housing. By just saying that, it's indicative that actually this won't stop that many demolitions and that there will be a sizable chunk of change for affordable housing. It doesn't seem reasonable to me to pay for affordable multifamily housing by making single-family housing even more unaffordable.",portland
12_02_2015,affordable housing,"One is a demolition of an older house to make [STREET] for affordable housing. And then we...  One of the things we've tried to encourage, we have different criteria for the applications, and one of them is how are you being innovative? So what are you doing to save time and reduce costs?",portland
12_02_2015,affordable housing,"uh these three projects reflect the total of 409 units 20 of which will be affordable units 27 will be affordable to households at 60 percent of median family income and 55 will be affordable to households below 80 percent of median family income these projects are also located in amenity rich areas of the city which we just where we desperately need more affordable housing  Two of the projects are located in [ORGANIZATION] in the FAC0 area, and one is in the [PERSON] neighborhood. In addition to providing affordability, all of the projects include universal design accessibility features, and 5% of the affordable units will be fully adaptable. Additionally, the developers of all three proposed projects have entered into technical assistance contracts with experts in minority contracting.",portland
12_02_2015,affordable housing,"Is that your intent following [ORGANIZATION] of experience with these new guidelines to do a review and come back to us with any suggestions you might have for refinement? That's correct. I think in this market in particular, it's very critical that we are constantly monitoring the effectiveness of not just the multi-program, but all of our affordable housing programs, and if there's opportunities for revisions or tweaks, that we're aware of those and tracking that possibility.",portland
12_02_2015,affordable housing,"He's thrilled to be living in a [STREET] where the services he needs to access are close. He doesn't have to travel very far to get services. And working with one more, having a [STREET] that gives vets priority to  And just having the access to that affordable housing piece is huge, especially to our organization that works with people who are all under that stress.",portland
12_02_2015,affordable housing,"We've worked closely with [ORGANIZATION] over [ORGANIZATION] on their four mixed-use projects, totaling over 300 units of apartments they'll begin building in [LOCATION]. They've been responsive to many of our requests, and they will be an asset to our neighborhood. Awarding the multi-grant [ORGANIZATION] has applied for is a concrete action the city can take now, which will provide 57 affordable housing units in [ORGANIZATION].",portland
12_02_2015,affordable housing,"We also recognize the need for and support significant investment in a variety of affordable housing types in [ORGANIZATION] and citywide, including single-family home ownership, home repair, housing for families, veterans, and seniors, and assistance for first-time moderate-income homebuyers. We urge the [ORGANIZATION] to vote in support of ORG1 multi-grant application. Thank you.",portland
10_12_2017,homeless,The buildings are too high to allow sun access and the view of the sky. The purple [ORGANIZATION] has almost disappeared. The tunnel connecting the courtyard and the park is too low and will be unfriendly and encourage homeless and social problems.,portland
10_12_2017,affordable housing,"There are already too many market rate units. In addition, there's plenty of room in the Conway Master Plan for more housing than you can imagine with the FAR that's supposed to be moved there from this site and elsewhere. Finally, you have the promise of affordable housing.",portland
10_12_2017,affordable housing,"Well, the affordable housing that's going into this program only has a [ORGANIZATION] commitment. So there's a [ORGANIZATION] commitment for affordable housing that will do harm to a DATE1 square. That's not the right balance.",portland
10_12_2017,affordable housing,"The first is the ongoing disagreement about how to best solve the problem of the competing burdens that are placed on this property. The second is a series of arguments that are outside the actual legal criteria of the case, and I'd like to spend [TIME] with those because they attempt to set up a straw man, knock them down, and claim that means something, and I'd like to talk about those four points so we can make sure they don't distract from the central issues in the case. The first is the often repeated claim, which is in the appeal, that the applicant is driven by a goal of avoiding the city's affordable housing requirements.",portland
10_12_2017,affordable housing,"Call it what you want, [ORGANIZATION] has a housing shortage. We have a significant shortage of affordable housing, nowhere near enough to meet current or future demand. We intend to build 200 apartments right at the future streetcar stop and still leave 65% of the site open to the public.",portland
10_12_2017,affordable housing,"You already approved our multi-affordable housing proposal, and now 40 units are designated for households at or below 80% area median income. For those households, rents will be discounted 37% to 56%, representing $400 to $1,500 [DATE] in rent. For how long would that be?",portland
10_12_2017,housing crisis,"And while with the development we'll be extremely challenged by the lack of parking in the neighborhood, we also realize it's critical to [ORGANIZATION]'s future to solve the housing crisis in [PERSON] and beyond. While I'm not an expert on squares or the master plan, we support buildings that are part of the solution to the housing shortage. With a range of rents, including the inclusionary housing for families earning 80% of the [PERSON] median family income,  The development provides options to [PERSON]ers looking for stable housing, potentially including some of our employees.",portland
10_12_2017,affordable housing,"It goes without saying the central dilemma of our affordable housing challenge is that housing costs more than local wages and have the power to buy or rent. It is a wage problem at one end. In the case of [ORGANIZATION] markets, a problem is strong demand for external equity and wealth on the other.",portland
10_12_2017,affordable housing,"Inevitably, it boils down to math. For us, affordable housing for our [TIME] workforce is our biggest concern. We frequently have more than 20 positions that we cannot fill because of lack of rentals.  but stable housing for all Oregonians will lead to community resilience and a strong foundation for our business.",portland
10_12_2017,homeless,"Now, you will have some issues like we're having right now because of the homeless situation. But generally, it can be managed. But I do think that it certainly opens up the neighborhood.",portland
10_12_2017,affordable housing,"And I think the idea of opening up to the park, participating in the kind of events that would take [STREET], I think it's very engaging. The only other comment I'd have is that, if anything, I've learned in [ORGANIZATION] –  Is any nook and cranny anywhere we can find affordable housing, we need to get it. And we need to get as much of it as we can.",portland
10_12_2017,affordable housing,"Having been charged with building out a number of master plans, I have been humbled by things called market timing, access to capital, private sector decision-making. The best of intentions, we're still going to build things out in a [STREET] that is flexible and is market-driven. And the best example of that on the negative end is how few cranes we had in the air during the recession, how difficult it was to do affordable housing.",portland
10_12_2017,affordable housing,"So I'd like to just discuss the issue for me. I mean, we were told that we need this housing, therefore the public benefit outweighs the public damage. But the affordable housing is paid for by the tax abatement, and it's on the whole building, and it's not all that affordable anyway at 80%.",portland
10_12_2017,affordable housing,"Well, I'm just on the issue. On the discussion point of view, I would agree with you, Commissioner [PERSON]. There is a benefit to the developer by doing the affordable housing.",portland
10_12_2017,affordable housing,"I'm excited about the plaza. I'm happy we'll get some affordable housing. I agree with Commissioner [PERSON] and [PERSON], though, that we really do have a glut of market and luxury rate units.",portland
11_29_2018,affordable housing,"Commissioners, I'm [PERSON], co-chair of [ORGANIZATION]. Affordable housing and historic preservation are not mutually exclusive. We're here to tell you we support high-density housing throughout northwest [ORGANIZATION].",portland
11_29_2018,housing crisis; affordable housing,"[ORGANIZATION] is responsible for supporting affordable housing and protecting historic resources, which is the dilemma of the case you have in front of you here [ORGANIZATION]. And we believe you can balance these goals and that by doing so will ensure integrity, livability, and the continued special character of [ORGANIZATION]. And in the context of a housing crisis that is [LOCATION] in the making, [ORGANIZATION] is proud to have supported the over 3,500 new housing units that have been built in the neighborhood since DATE2.",portland
11_29_2018,affordable housing,"Not directly in the approval criteria, but certainly in the [STREET] this proposal has been presented, discussed, reviewed, and considered. Discussion of affordable housing has pervaded all aspects of this case, and even in the wording of the approval, and even in [TIME] of discussion this council has had. Well, the affordability-",portland
11_29_2018,affordable housing,"The inclusionary housing would require that 20% of the units be at 80% of median family income. But we think that their proposal that all of them be at 60% of MFI has colored all of us, all of our perceptions of this project, and has made us...  less harsh in our judgment of it because we know that the need for affordable housing is so dire. But we are concerned that if, for example, they were unable to get funding because they have not yet secured funding, if they weren't able to get funding, that approval would be sitting there and another developer could come along and say, oh wait, we got this approval, let's build this for market rate.",portland
11_29_2018,affordable housing,"But make no mistake about it, there's not a single person that doesn't want development on that site, not a single person that's happy that [ORGANIZATION] will be seismically upgraded and rehabilitated, and not a single person that doesn't want truly affordable housing there or affordable in the sense that it's cheaper than normal. There's more background. This is all on the record.",portland
11_29_2018,affordable housing,"They certainly disregarded their criteria in terms of scope and compatibility, and I really hope you will come out and walk this block. This is the treasure of [ORGANIZATION], and what is proposed there, in terms of scale and compatibility, it's a monstrosity. I support affordable housing, and the other part of my argument is, and I believe I'm allowed to say this, I think this is a bait-and-switch argument.",portland
11_29_2018,affordable housing,"We need affordable housing, and this site would be great for affordable housing. But there are no deed restrictions and there are no conditions here that would require these people to do anything other than say, we're going to give you affordable housing. They're going to give you market rate bait and switch.",portland
11_29_2018,affordable housing,"And I, as a taxpayer who believes that every neighborhood has a responsibility to provide affordable housing,  Let's make sure we can get it there. And it would be nice if it didn't look like a woman's prison, but I think it could be great, and I hope you'll stand firm and apply the law and reject this proposal and let them rework it so that it could be.  and have affordable housing in it. Thank you.",portland
11_29_2018,affordable housing,"So was there anything else that was in your email that you wanted to make sure the council is aware of? I primarily had the two arguments because having attended a number of meetings, I never really understood that they were going to push the affordable housing. And when [ORGANIZATION] said,  approved this, I was flabbergasted because the testimony was so strong that they were totally not meeting any of the criteria for this building.",portland
11_29_2018,affordable housing,"My historic buildings are fragile. We've testified in front of [ORGANIZATION] several times, and they've concurred with us time and again until it was announced that the new construction would be used for affordable housing. Nowhere in the Standards for Rehabilitation grants exceptions to the covenants based on who the tenants are.",portland
11_29_2018,affordable housing,"The standards are so restrictive, I'm not allowed to make major changes to my buildings due to their historic status. And the historic rentals are the last bastion of affordable housing in that area. My top rent for a two-bedroom is $1,650 a month.",portland
11_29_2018,affordable housing,"Okay. My name is [ORGANIZATION], and I live across the [STREET] in one of the [PERSON] homes. I want you to know that I'm an ardent supporter of affordable housing, have been so for [ORGANIZATION].",portland
11_29_2018,homeless; affordable housing,"I've worked in the field. I have been an affordable housing consultant, a housing and homeless services manager at the state, and a director of permanent supportive housing evaluation project, and have talked to a lot of – as part of my job, talked to a lot of people that live in housing. I'm asking that you reverse the [ORGANIZATION] decision and deny the proposed design.",portland
11_29_2018,affordable housing,"I commented extensively in my comments that are on the record, and you've already heard what some of the main points are, why this design does not meet the criteria. I wanted to talk a little bit about how expensive it is to build affordable housing [ORGANIZATION]. When I was a housing consultant and worked on several complexes that still exist [LOCATION] in [ORGANIZATION], I  I had a straightforward no-furls approach.",portland
11_29_2018,affordable housing,"What I tried to do was roll up my sleeves, look at all the requirements, make sure that before I moved a project forward that it moved forward, that it met all the requirements. And I guess I feel not very good that this project has taken so long, that there's been so many meetings with teams of lawyers where neighbors have been accused as [ORGANIZATION] when we really support an affordable housing project and would love to see one that is at an appropriate scale. Okay.",portland
11_29_2018,affordable housing,"under the criteria are not inconsistent with those federal standards so thank you sorry thank you and next we have PERSON0 PERSON1 good [TIME] if you'd like to go ahead and start sir you may uh mr mayor [PERSON] i'm PERSON3 i live two blocks from the project site i've lived in this neighborhood since [ORGANIZATION] both as a renter and as an owner  I support the development of scale-compatible, bona fide affordable housing in my immediate neighborhood.",portland
11_29_2018,affordable housing,"First, the development...  fails to meet multiple mandatory review criteria in the community design guidelines and in the alphabet historic district. Secondly, the proposal and the record, while making repeated references to the project as being affordable housing, includes no protections to ensure that the result will be anything other than full frontal market rate rental housing. The [ORGANIZATION] should take steps to immunize itself and the public from being party to a bait-and-switch scenario wherein the [ORGANIZATION] is baited to overlook dubious design and massing aspects of the proposal because the proposal might supply affordable housing.",portland
11_29_2018,affordable housing,"In [ORGANIZATION]'s development cost environment, delivering affordable housing depends on access to significant public subventions. And despite multiple applications for these by the developer, these subventions have yet to be forthcoming for this project. Because the project's history of difficulties in securing the necessary public subventions, there's a very good chance that the project will be switched to the type of market rate workforce housing, which the market is already supplying in quantity in this neighborhood.",portland
11_29_2018,affordable housing,"In short, we'd get an incompatible building which fails to deliver affordable housing, a worst of both worlds outcome. The [ORGANIZATION] could immunize itself and the public against such a bait-and-switch outcome by requiring the applicant, as a condition of approval, to enter into a recorded long-term affordable housing restrictive use agreement prior to the issuance of a building permit. Such agreements are a common feature of this world of affordable housing where they serve to align promises and outcomes.",portland
11_29_2018,affordable housing,"We have two additional concerns. We worry that the units built under the appellation of affordable housing will not remain that [STREET]. There is nothing in my knowledge that would prevent the owners from converting it to market rate housing down the line, as you so eloquently articulated.",portland
11_29_2018,affordable housing,"Second, I wanted to also emphasize that many of us, including [ORGANIZATION], have been advocates for affordable housing for [ORGANIZATION]. For myself, I'm coming up on DATE1 of housing advocacy, including when I worked for the city, working on the project [ORGANIZATION] that became a national model for...  for citing special needs housing and is still the outstanding model in this country and is one of the things I'm proudest of in my life. And finally, this doesn't relate specifically to the criteria but to the purpose of the historic districts.",portland
11_29_2018,affordable housing,"Good [TIME], ladies and gentlemen. My name is [ORGANIZATION], and I also live adjacent to this proposed development. I'd just like to essentially support what I feel are the failure based upon the massing of this project and also the design compatibility as well as no guarantee that this will be affordable housing projects.  because a number of people have commented on the bait and switch aspect of this thing.",portland
11_29_2018,affordable housing,"I would just like to comment briefly on, and I want to,  totally support all of those who commented in a positive [STREET] about their support for affordable housing. We've never said that. As a matter of fact, it's kind of curious that this is the third proposal on this site and the first one that has that as a catchphrase in terms of trying to attempt to get affordable  this approved.",portland
11_29_2018,affordable housing,"And it's also like within the zip codes within the city of [ORGANIZATION], it's 30th out of 32nd in median income. So clearly there is affordable housing here. There's below market, you know, people that...  don't have the same income.",portland
11_29_2018,affordable housing,"I would suggest that some form of  support for affordable housing in terms of assisting those rent assistance would be appropriate while we search for a credible solution to this problem, and I would love to see something there. Thank you for your testimony. Very good.",portland
11_29_2018,affordable housing,"Well, but I'm just getting the sense from the testimony that there's a belief that this project's being allowed to go forward when it wouldn't otherwise be because of the promise of affordable housing. It's actually under the maximum FAR. Yeah, thank you.",portland
11_29_2018,affordable housing,"My name is [ORGANIZATION]. I'm the Executive Director of [ORGANIZATION]. We're an affordable housing developer of 1,800 units across the state.",portland
11_29_2018,affordable housing,"We introduced this project initially as affordable housing because we wanted to provide transparency to our intentions at the site. Yet our landmarks process has focused on the design and compatibility. The ideal is to provide affordable housing in a high-opportunity area that will provide access to transit, shopping, jobs, education, healthy foods and services, all while reducing the need and expense of a car.",portland
11_29_2018,affordable housing,"These are also the policy goals of [ORGANIZATION]. We appreciate all of the comments here [ORGANIZATION] in support of affordable housing. [ORGANIZATION] has experience with adaptive reuse and upgrade of historic properties, such as what we've proposed here.",portland
11_29_2018,affordable housing,"Before we conclude, I do want to address the requested affordability condition. I'll address it from a legal standpoint, and then [ORGANIZATION] can address it from a practical standpoint. There's been some suggestion that this affordable housing proposal has sort of colored ORG1 assessment and even, I guess, the neighbor's assessment of the design.",portland
11_29_2018,affordable housing,"Yes. As you know, that's down the [STREET] as we secure the funding to do the affordable housing. Commissioner [PERSON].",portland
11_29_2018,affordable housing,"You know, our mission is to provide 100% affordable housing in what we do. I'm hesitant to commit to any level in this area. because that needs to be negotiated as the funding comes in.",portland
11_29_2018,affordable housing,"Thank you. First of all, I want to thank you for clarifying issues or concerns or suspicions about this being a bait and switch. [ORGANIZATION] is an absolutely reputable affordable housing developer, and I think it just speaks to the level of kind of anxiety and mistrust in the community, which is sometimes well-founded, but I don't think it is in this case.",portland
11_29_2018,affordable housing,And the first thing I'd like to do is applaud the neighborhood and the district association for their welcoming of affordable housing into their neighborhood. I want to acknowledge that. Our firm specializes in affordable housing organizations.,portland
11_29_2018,affordable housing,"We're in front of a lot of angry neighborhood associations throughout the city, and they have been clear from the beginning of this process that they welcome affordable housing. So I just want to acknowledge that. We do have a disagreement on questions of density and scale, though.",portland
11_29_2018,affordable housing,"And I would say that they go much further toward keeping the character of the district than leaving what we have there, which is two parking lots and the buck prairie sitting in the middle of it vacant. It is also significant, of course, that this building will have or may very well have 148 units of affordable housing. many for seniors who would benefit from proximity to [ORGANIZATION] and the services there.",portland
11_29_2018,affordable housing,"If you vote to uphold their decision, you can be confident that you're approving a building that has already been very carefully reviewed by both city staff and dedicated volunteers. I would urge you to vote yes on this [ORGANIZATION]. Affordable housing in particular faces great challenges in assembling its funding, and that funding can very easily be jeopardized by delay.",portland
11_29_2018,affordable housing,"We urge you to support the project that will preserve and size-lockingly retrofit FAC0, fall well within massing and unit limits allowed by the zoning, and offer 148 regulated affordable homes to [ORGANIZATION] households that desperately need them. We don't actually believe that it ever makes sense to take all of the social and human contacts out of any decision that we ever make in the public realm. We must consider that we are in the midst of an affordable housing shortage.",portland
11_29_2018,affordable housing,"Floors allowed under the 5-[ADDRESS]. It's part of the diversity of the district and  As a city, if we continue to add delays and costs to every housing project, not to mention unduly burdening non-profit affordable housing projects, then the overall cost to [ORGANIZATION] will be tremendous.",portland
11_29_2018,affordable housing,"And to allow this process to have neighbors be able to throw a temper tantrum and delay the creation of affordable housing, which everybody on this panel has said and everybody on this council has said that we desperately need, is contrary to our goals. I know there are lots of people all over the city who would love to have this power, but they don't. There are only a few types of neighborhoods that get to really bring these, that have the resources to do it.",portland
11_29_2018,affordable housing,"Going to Commissioner [PERSON]'s comment earlier, whether there are any bonuses given, no, there is a bonus available, but [ORGANIZATION] staff told the developers not to even come in at the four-to-one that's allowed by right. They didn't get anywhere near that affordable housing bonus that this council... These neighbors came to this council before and asked for that area to be downzoned, and you denied it because you have different priorities.",portland
11_29_2018,affordable housing,"So...  Through this process, through the pressure from [ORGANIZATION] and then through the three different design advice review hearings, which stretched over [ORGANIZATION], I would love to know the professional fees involved in taking your architects and your lawyers through that entire process. That's all money that's going to the cost of affordable housing that we desperately say we need. I would hope that this council would take this opportunity, one, to censure the neighbors who are bringing this, and two, to remove this ridiculous fee waiver for appeals because this behavior shouldn't be tolerated.",portland
11_29_2018,homeless,"I'm the Executive Director at [ORGANIZATION]. For [ORGANIZATION], [ORGANIZATION] has been helping low-income seniors get into housing or stay in housing. We would urge you from that perspective of knowing how many seniors are being left struggling to find housing that they can afford to stay in and how many homeless seniors there are needing housing.",portland
11_29_2018,affordable housing,"We would encourage you to uphold the [ORGANIZATION] approval of this project and deny the appeal. We also want to say that we have a long and strong partnership with [ORGANIZATION], who has a track record of building and managing affordable housing and making the [ORGANIZATION]-to-[ORGANIZATION] lives of the people who we serve, low-income seniors, more pleasant and gives them the ability to live independently for a longer period of time. This is, as someone earlier said, a high opportunity area.",portland
11_29_2018,affordable housing,"The location is ideal for seniors, and the unit sizes are also ideal. [ORGANIZATION] is willing to go through and has demonstrated that they're going through lots of hoops and challenges to identify a project that's going to be visually appealing as well as provide affordable housing. and [ORGANIZATION] approved the design.",portland
11_29_2018,affordable housing,I have lived in [ORGANIZATION] for [ORGANIZATION]. I know the area that we are just speaking of. And I think affordable housing is definitely something we need.,portland
11_29_2018,homeless; affordable housing,"So one thing that I did hear [ORGANIZATION], though, was that we need to maybe put special conditions on this housing unit. concerning to make sure that we have affordable housing for residents, because that is a big issue in this city. As a student who lives on campus, I see a lot of the homeless problem, and it's a disgrace to our city.",portland
11_29_2018,affordable housing,"And I think if we had more affordable housing, that we could maybe take some of those people off the [STREET]. Thank you. Thank you.",portland
11_29_2018,homeless,"[TIME], sir. My name is [ORGANIZATION]. I'm the Executive Director of [ORGANIZATION], an agency that's been very active in providing food services and a shelter for homeless people in [ORGANIZATION], [PERSON], for [ORGANIZATION].",portland
11_29_2018,affordable housing,"As direct demonstration of this, [ORGANIZATION] is committed to preserving and fully renovating FAC0, which as it stands now is rapidly deteriorating. It is my opinion that all three buildings making up the redevelopment of this important site in such a resource-rich area as [ORGANIZATION] do an excellent job of directly complementing the adjacent dwellings in the community while reflecting the eclectic  nature, and the varied uses, shapes, and sizes of the buildings that make up the district as a whole. [ORGANIZATION] has an unparalleled track record of conceptualizing and delivering on mission-based affordable housing developments that became permanent resources to the communities they serve throughout [ORGANIZATION].",portland
11_29_2018,housing crisis; affordable housing,"They have selected a project team with [ORGANIZATION] of experience in preserving historic resources and the development of affordable housing in urban communities with a varied cast of community stakeholders. With that in mind, [ORGANIZATION] and their team have presented a project that meets historic landmark guidelines while providing an affordable housing resource in a resource-rich neighborhood for [ORGANIZATION] to come. There is a housing crisis throughout our community, as evidenced and supported by the voters for [ORGANIZATION] and the passing of [ORGANIZATION] 102.",portland
11_29_2018,affordable housing,"But if they can come up with language that basically gets us to the same [STREET] that it's going to be,  assurance that it will be affordable housing, we would fully support that. And we also note that [ORGANIZATION], the language in the decision specifically says, I quote, approve 148 units of affordable housing. So we're just asking council to implement that.",portland
11_29_2018,affordable housing,"I agree, but I think the key word there is should. That it should be, we should be blind to the content, but the reality is that we're human and that there is a dire housing shortage for affordable housing and that we can't help but be affected by that. That's, we've all talked about how ironic it is that we find ourselves opposing an affordable housing project.",portland
11_29_2018,affordable housing,"Um...  We know that it affected [ORGANIZATION] because it pervaded their discussion, and it's reflected in their written decision. We know it's affected us, and we don't expect council to ignore that factor either. And we think that in all three of our cases, it makes us a little bit less critical.  of this proposal because we want so much for affordable housing to happen.",portland
11_29_2018,affordable housing,It does say in [ORGANIZATION] decision it's approved for affordable housing and then you very helpfully put in the definition from 30.[ZIP].B. Thank you. regarding what does that mean in city code.,portland
11_29_2018,homeless,"[ORGANIZATION] with [ORGANIZATION], [DATE] shelter for homeless and abused women, is right to the right where the first car is. And that's just about 150 feet away or so from FAC0 and all the houses on that. I show that just to provide you context.",portland
11_29_2018,affordable housing,"So if you're... The applicant is an affordable housing provider. I think that you can see in the [STREET] that the application was provided, was approved, that they do discuss it as affordable housing.",portland
11_29_2018,affordable housing,"If your question is does that give us a nexus to impose a condition, I think my advice would be no. The council's authority to impose conditions is based on the applicable approval criteria. So whether or not a finding mentioned the project that was proposed by the applicant as including affordable housing, that's still not the applicable approval criteria.",portland
11_29_2018,affordable housing,"That has never been looking at anything else. I think, you know, our concern with the covenant is based on it's already very, very difficult to provide affordable housing. And so to put anything else tied to this project makes lenders very uneasy.",portland
11_29_2018,affordable housing,"And quite frankly, we need as much flexibility as possible in talking to as many lenders as possible to get projects funded. So the decision currently says that it's for affordable housing, and it refers in the modification, the adjustment criteria to the studios and the seniors, etc.,  And then the appeal pointed out that the city's definition of affordable housing is at 80% of median family income, and the appellants were asking for 60%. So is 80% – you said that you don't have any projects that are providing housing at greater than 80%.",portland
11_29_2018,affordable housing,"I would note that the decision also notes that the type of housing proposed, the amount of parking, here I'm quoting page 5, the type of housing proposed, the amount of parking and density are not relevant to the applicable historic resource review criteria. So as we read the decision and the deliberations and all of that, the references to affordable housing were different. No, I agree with that.",portland
11_29_2018,affordable housing,What I'm hearing from the applicants is they have no intention of doing any conversions. So I'm... What I'm trying to do is to acknowledge that the neighbourhood has expressed this concern and I think that they have presented their concerns in a very helpful and supportive [STREET] that is very respectful of affordable housing,portland
11_29_2018,affordable housing,"So the fact that it may not be exactly the same as every other block in the district doesn't seem valid to me. Also, I would also love to guarantee that this  is affordable housing and remains affordable housing. I have no reason to believe that it won't be.",portland
11_29_2018,affordable housing,"I also appreciate [ORGANIZATION] and their members who work very, very diligently on this, in some cases under extreme pressure. And so thanks to [ORGANIZATION] and [PERSON] for your support of them and for this decision, which does say that it's for 148 units, new affordable housing units, including 48 senior units and 100 units of affordable workforce housing, and that no field changes may occur.  are allowed. So I think it's quite clear in the record what's intended.",portland
11_29_2018,affordable housing,"Because it is [ORGANIZATION], I'm very confident that you are going to get the funding and that this is going to move forward. So thank you very much for all you do for affordable housing as well as ORG1 and others. I think this is a remarkable project",portland
11_29_2018,affordable housing,"and I'm looking forward to seeing it done. And I will also say Commissioner [PERSON] is out of the state  on personal business. And I know he would say if he was here that, A, he also is relieved that we got here after we said no to the other one, and also that people who live in affordable housing should not have to sacrifice design and that they get to live in really wonderful places with great design.",portland
11_29_2018,affordable housing,"But we have to also remember that it's a very complicated business to build affordable housing, very complicated. You know, as housing commissioner... I've always been baffled at the ability for these projects to actually break ground and happen because there's so many complicated funding streams, bank loans, all that stuff.",portland
09_18_2019,homelessness,"High school graduation rates, homelessness. I think we're this, as you well know, we are the second worst in the country. So there are all these symptoms of this disease that [ORGANIZATION] has not been successful in addressing primarily because we have pretty much abandoned [ORGANIZATION] an effort to deal with this disease and that's changing in the end [ORGANIZATION] Recovers is part of that change and um the the proclamation uh Mr. [PERSON] that you're issuing [LOCATION] in [ORGANIZATION] and shoulder uh shoulder to shoulder with the other mayors and city councils around the state is helping us turn the tide on that and um helping the public to begin to understand that we're going to have to make some important choices.",portland
09_18_2019,homeless,"Hello, Mayor [PERSON], honorable commissioners. Thank you for the opportunity to address you DATE0 My name is [PERSON] and I've struggled with problematic alcohol use and methamphetamine addiction for my entire adult life Several times in my life. I've lost everything that I've worked hard for I've watched my life Fall apart leaving me unemployed homeless friendless with my family unwilling to talk to me and without the resources to access treatment and Everyone is different, but for me the cycle was always the same.",portland
09_18_2019,homeless,"Because addiction damages the part of the brain that allows a person to say no. For me to be able to say no, I need skills and resources. I work in a [INSTITUTION].",portland
09_18_2019,homeless; homelessness,"Whereas, [ORGANIZATION] supports addiction services in conjunction with its efforts to reduce homelessness and recidivism through [ORGANIZATION], [ORGANIZATION], and ORG2. And we should have added [PERSON] to that as well. Whereas the legislature has tasked [LOCATION] with producing a strategic plan to address addiction in the state of [PERSON].",portland
09_18_2019,homelessness,"And in this category, we saw respondents showing both significant similarities and some real differences as well. So as you can see from the chart, respondents, regardless of race and age, chose increasing housing affordability and addressing homelessness, that was one response, as their top budget priority. So that's the dark orange bar that you see across each category up at the top.",portland
09_18_2019,homelessness,"So we did note that increasing housing affordability and addressing homelessness was the top budget priority. The second most cited budget priority was investments in city streets, sidewalk, and transportation. That's the yellow bar that you see across the different categories.",portland
09_18_2019,homelessness,We asked this entirely new question that asked respondents to identify the city's greatest challenges. And here we heard loud and clear homelessness is perceived to be the top challenge facing [ORGANIZATION] according to our respondents. This perspective was shared across every race and age group.,portland
09_18_2019,homelessness,"You can see that by the tall blue bars in each category. [PERSON] was also cited in multiple sections of the survey, including as a reason why people moved and why they did not participate in parks programs. Also, from this question, it's interesting.",portland
09_18_2019,homelessness,"And there we noted that homelessness and drugs were the most commonly mentioned topics in that category, in that field. All right, I'm going to turn it over to [ORGANIZATION] for a few of the findings on civic participation. Great, so hopefully the maps are a little easier to look at.",portland
09_18_2019,homeless,"It could be just how the questions asked. I often wonder, as I look at some of these slides, if you'd ask the question, if the homeless problem didn't exist, how would you feel about the following statement? Because I feel like the urgency and the magnitude of the homeless crisis is probably overlaying all of these responses.",portland
09_18_2019,homelessness,"So one opportunity could be to create and support standardized practices or policies around program evaluation. Some examples of high priority areas identified by the survey are listed on this slide. The dissatisfaction with the city's response to homelessness despite significant program expansion and racial disparities in access to jobs, despite economic development programming specifically for communities of color.",portland
09_18_2019,homelessness,"And I think a number of these questions have to be reviewed, particularly around homelessness, so that there's no prompt in the question, that there is a more generic question, and therefore we get an answer that's based on people's response to a generic question, not to one that's a little loaded up. I don't know anymore what the term trust in government refers to. My sense in talking to a lot of people in the community is, is that when they disagree with the council, they express the disagreement as a trust issue.",portland
09_18_2019,homeless,"Hi, [ORGANIZATION], [PERSON]. PERSON1, I really liked your response. about open elections",portland
12_06_2017,unhoused; houseless,"Stranded shadows in the doorways haunt And discarded blankets on benches beseech I will send him poems again [PERSON] number two  Help me to understand. Help me to understand why you carry guns and I carry blankets, or why cops murder children and cities murder the unhoused. Help me to understand why you have a roof while others get an overpass, or why simply existing with no [STREET] to go warrants arresting the houseless and refusing them rest.",portland
12_06_2017,houseless,"Help me to understand why money flows for developers, yet city coffers are hollowed of food and shelter for people, or why black is to fear and white is to embrace. Help me to understand the hatred that pours from these halls, drowning the soul of this city in poverty, or why your garden grows manicured obsessions, while ours toxic compost from your unsustainable incompetence. Help me to understand why the fabric of the flag hasn't burned beneath your feet for punishing the houseless for existing.",portland
12_06_2017,affordable housing,"So I'll turn it over now to [ORGANIZATION] and [PERSON], who will make the presentation. But I also wanted to move an amendment that will provide an exemption for affordable housing. This was something we intended to do but somehow got left out of the mix, so I would now move that amendment.",portland
12_06_2017,affordable housing,"ADUs, disaster replacement, alterations, and property line adjustments are exempt. And we have, as Commissioner [PERSON] introduced, we are including affordable housing to the list of exemptions in this code update. So how much have we collected?",portland
12_06_2017,affordable housing,"Colleagues, this is funding for a grant agreement that was passed earlier during this [ORGANIZATION]'s budget process for an affordable housing and community project in [ORGANIZATION] for a Pano. This is a project that I believe the [ORGANIZATION] strongly supports. However, we have amended the agreement to clarify that [ORGANIZATION] will report back to us the results of their investigation into allegations of discrimination, something that we as a [ORGANIZATION] take very seriously.",portland
